时间,值_x,值_y
2024-05-27 10:56:10,428.192047,12.7990723
2024-05-27 10:56:05,430.221375,12.7807617
2024-05-27 10:56:00,427.209625,12.802124
2024-05-27 10:55:55,430.314484,12.802124
2024-05-27 10:55:50,429.091217,12.7563477
2024-05-27 10:55:45,424.0581,12.7807617
2024-05-27 10:55:40,427.299133,12.7502441
2024-05-27 10:55:35,431.146057,12.7349854
2024-05-27 10:55:30,424.06,12.72583
2024-05-27 10:55:25,419.944244,12.7166748
2024-05-27 10:55:20,426.24884,12.7227783
2024-05-27 10:55:15,424.506439,12.7380371
2024-05-27 10:55:10,429.835938,12.701416
2024-05-27 10:55:05,430.86087,12.6983643
2024-05-27 10:55:00,425.7563,12.67395
2024-05-27 10:54:55,428.028259,12.70752
2024-05-27 10:54:50,423.717346,12.6525879
2024-05-27 10:54:45,426.227539,12.7044678
2024-05-27 10:54:40,428.495819,12.6708984
2024-05-27 10:54:35,428.13208,12.7044678
2024-05-27 10:54:30,428.329773,12.67395
2024-05-27 10:54:25,430.683533,12.65564
2024-05-27 10:54:20,427.2777,12.6525879
2024-05-27 10:54:15,425.957275,12.65564
2024-05-27 10:54:10,429.461029,12.6190186
2024-05-27 10:54:05,424.796082,12.62207
2024-05-27 10:54:00,429.601135,12.6281738
2024-05-27 10:53:55,432.026459,12.600708
2024-05-27 10:53:50,425.4261,12.5762939
2024-05-27 10:53:45,425.701721,12.5732422
2024-05-27 10:53:40,425.676849,12.5579834
2024-05-27 10:53:35,428.892029,12.5183105
2024-05-27 10:53:30,428.820648,12.5
2024-05-27 10:53:25,429.7888,12.487793
2024-05-27 10:53:20,431.11,12.4420166
2024-05-27 10:53:15,427.84906,12.4389648
2024-05-27 10:53:10,432.7593,12.4206543
2024-05-27 10:53:05,432.50824,12.387085
2024-05-27 10:53:00,431.9449,12.4053955
2024-05-27 10:52:55,430.781,12.3687744
2024-05-27 10:52:50,433.197845,12.3596191
2024-05-27 10:52:45,437.257751,12.3565674
2024-05-27 10:52:40,433.990173,12.3657227
2024-05-27 10:52:35,433.476135,12.3382568
2024-05-27 10:52:30,434.957123,12.34436
2024-05-27 10:52:25,439.312653,12.322998
2024-05-27 10:52:20,434.353943,12.34436
2024-05-27 10:52:15,431.873169,12.2772217
2024-05-27 10:52:10,431.0134,12.3077393
2024-05-27 10:52:05,432.834137,12.2802734
2024-05-27 10:52:00,432.266174,12.3046875
2024-05-27 10:51:55,435.0367,12.2772217
2024-05-27 10:51:50,436.995,12.2436523
2024-05-27 10:51:45,433.137054,12.2558594
2024-05-27 10:51:40,435.0927,12.2406006
2024-05-27 10:51:35,440.709381,12.2314453
2024-05-27 10:51:30,434.3898,12.2406006
2024-05-27 10:51:25,436.5633,12.2589111
2024-05-27 10:51:20,438.658875,12.2406006
2024-05-27 10:51:15,433.4465,12.2406006
2024-05-27 10:51:10,435.8153,12.2436523
2024-05-27 10:51:05,428.621552,12.2619629
2024-05-27 10:51:00,431.606018,12.2619629
2024-05-27 10:50:55,433.231323,12.2772217
2024-05-27 10:50:50,433.824463,12.2955322
2024-05-27 10:50:45,435.227081,12.3382568
2024-05-27 10:50:40,428.2555,12.3413086
2024-05-27 10:50:35,430.329468,12.3413086
2024-05-27 10:50:30,432.595062,12.3596191
2024-05-27 10:50:25,433.239,12.3718262
2024-05-27 10:50:20,429.7317,12.4053955
2024-05-27 10:50:15,427.5252,12.4420166
2024-05-27 10:50:10,427.0656,12.4725342
2024-05-27 10:50:05,426.091553,12.4786377
2024-05-27 10:50:00,422.9914,12.5396729
2024-05-27 10:49:55,423.642639,12.5427246
2024-05-27 10:49:50,429.4956,12.5671387
2024-05-27 10:49:45,428.5938,12.6068115
2024-05-27 10:49:40,427.313,12.6403809
2024-05-27 10:49:35,420.444946,12.6586914
2024-05-27 10:48:25,425.0102,12.7227783
2024-05-27 10:48:20,425.192352,12.7227783
2024-05-27 10:48:15,425.912231,12.6800537
2024-05-27 10:48:09,420.933441,12.7197266
2024-05-27 10:48:04,422.2872,12.7044678
2024-05-27 10:47:59,422.540955,12.7044678
2024-05-27 10:47:54,424.838684,12.6708984
2024-05-27 10:47:49,425.910828,12.7227783
2024-05-27 10:47:44,427.864838,12.6708984
2024-05-27 10:47:39,428.759674,12.677002
2024-05-27 10:47:34,431.742035,12.677002
2024-05-27 10:47:29,431.595642,12.70752
2024-05-27 10:47:24,430.646729,12.7197266
2024-05-27 10:47:19,432.4159,12.7227783
2024-05-27 10:47:14,434.318451,12.677002
2024-05-27 10:47:09,432.1382,12.6983643
2024-05-27 10:47:04,436.748352,12.7197266
2024-05-27 10:46:59,436.12207,12.7197266
2024-05-27 10:46:54,440.0316,12.7197266
2024-05-27 10:46:49,441.978333,12.713623
2024-05-27 10:46:44,437.972137,12.701416
2024-05-27 10:46:39,435.2928,12.7227783
2024-05-27 10:46:34,438.158722,12.7105713
2024-05-27 10:46:29,443.186554,12.7197266
2024-05-27 10:46:24,445.653168,12.7197266
2024-05-27 10:46:19,436.474762,12.7380371
2024-05-27 10:46:14,435.6062,12.7349854
2024-05-27 10:46:09,440.552216,12.7380371
2024-05-27 10:46:04,437.270752,12.7380371
2024-05-27 10:45:59,437.512939,12.7410889
2024-05-27 10:45:54,441.9118,12.7563477
2024-05-27 10:45:49,440.623138,12.7838135
2024-05-27 10:45:44,440.835052,12.7807617
2024-05-27 10:45:39,440.3056,12.7563477
2024-05-27 10:45:34,440.804321,12.7838135
2024-05-27 10:45:29,437.537262,12.802124
2024-05-27 10:45:24,442.4704,12.802124
2024-05-27 10:45:19,441.963074,12.7929688
2024-05-27 10:45:14,440.504517,12.8204346
2024-05-27 10:45:09,437.9969,12.8204346
2024-05-27 10:45:04,440.479156,12.8570557
2024-05-27 10:44:59,438.338928,12.8356934
2024-05-27 10:44:54,435.768677,12.8387451
2024-05-27 10:44:49,432.513123,12.8387451
2024-05-27 10:44:44,431.2223,12.8326416
2024-05-27 10:44:39,431.773834,12.8356934
2024-05-27 10:44:34,432.77832,12.8509521
